From	To
Q13394	4081
Q3B7J2	81577
P09661	6627
Q96Q07	114781
O15379	8841
Q99832	10574
P62995	6434
Q93079	8345
Q5TCZ1	9644
P12829	4635
Q06141	5068
Q6PXP3	155184
B7ZL88	285521
P08651	4782
A8MV65	389136
I3L3Z2	84316
P49368	7203
P50851	987
Q8WUJ3	57214
Q96HH4	92691
O94804	6793
Q8IUZ5	85007
P09417	5860
O95257	10912
Q96K76	55031
Q9BXX0	84034
P42345	2475
B7ZAA0	5378
Q9BY71	81543
P51970	4702
P14635	891
Q5T8A7	9858
Q6FIF0	54469
B4DRX9	55731
P01106	4609
Q9UQE7	9126
Q9BTY7	51236
P21359	4763
Q9UBX0	8820
B0QYL9	5435
P23560	627
P23193	6917
Q9NVI7	55210
F5GX83	80975
O75325	10446
F5GWI4	100
O00398	27334
Q9H3U5	64747
Q15836	9341
P28066	5686
P20963	919
O60500	4868
Q9NRG9	8086
Q9NP92	10884
Q96M11	219844
Q5JSZ5	84726
Q96MT8	80254
P07858	1508
Q96DR7	26084
Q8NEV9	246778
Q9UKW4	10451
Q58HT5	158833
P78329	8529
Q9BVC4	64223
O00327	406
Q9BPY8	84525
P48509	977
P11586	4522
A0A087WUN7	81892
J3KNS1	23287
Q13501	8878
P05177	1544
A6NLG4	6474
Q8WWZ7	23461
C9J0Q5	9612
Q9UPY5	23657
Q8N392	93663
O76031	10845
Q8NDP4	90594
P23142	2192
P40306	5699
P10826	5915
Q9H857	64943
Q9BUR5	79135
Q9UKX2	4620
O15528	1594
B5MCT2	2115
P20333	7133
B4DZ23	11245
B3KXD6	23481
Q7KZN9	1355
Q14094	10983
P02795	4502
P15170	2935
P01189	5443
A0A0A0MRP1	204962
Q8IXL6	56975
Q9Y272	51655
A0A087X295	11180
Q9Y4B6	9730
Q86TA1	79817
Q99829	8904
Q9NY84	55350
Q9NXG6	54681
P41250	2617
Q9BQI0	83543
Q9NX57	55647
P35125	9098
Q15772	10290
F2Z2Y4	8566
Q8NHS2	137362
Q12772	6721
Q32MH5	56204
F5GYM4	10019
P00390	2936
A0A087X004	27165
P60953	998
P49326	2330
Q96QD8	54407
O75509	27242
A9JR48	27164
Q96F63	90324
Q8IXN7	284716
Q96L34	57787
Q9BYX2	55357
O00754	4125
Q5T3U5	89845
Q9NQZ8	58491
O14512	30837
F5GX71	4351
